Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,race,AirTemp,TrackTemp
0 days 02:23:27.106000,GAS,10,0 days 00:01:33.614000,49.0,2.0,,,0 days 00:00:34.487000,0 days 00:00:29.493000,0 days 00:00:29.634000,0 days 02:22:28.049000,0 days 02:22:57.542000,0 days 02:23:27.176000,281.0,297.0,291.0,299.0,True,HARD,35.0,True,Alpine,0 days 02:21:53.492000,2023-03-19 18:22:53.578,1,9.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:36.473000,MAG,20,0 days 00:01:33.746000,49.0,2.0,,,0 days 00:00:34.260000,0 days 00:00:29.484000,0 days 00:00:30.002000,0 days 02:22:37.065000,0 days 02:23:06.549000,0 days 02:23:36.551000,284.0,298.0,291.0,303.0,False,HARD,41.0,True,Haas F1 Team,0 days 02:22:02.727000,2023-03-19 18:23:02.813,1,10.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:39.312000,TSU,22,0 days 00:01:34.117000,49.0,2.0,,,0 days 00:00:34.572000,0 days 00:00:29.706000,0 days 00:00:29.839000,0 days 02:22:39.847000,0 days 02:23:09.553000,0 days 02:23:39.392000,285.0,298.0,291.0,304.0,False,HARD,32.0,True,AlphaTauri,0 days 02:22:05.195000,2023-03-19 18:23:05.281,1,11.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:42.498000,HUL,27,0 days 00:01:34.106000,49.0,2.0,,,0 days 00:00:34.666000,0 days 00:00:29.577000,0 days 00:00:29.863000,0 days 02:22:43.152000,0 days 02:23:12.729000,0 days 02:23:42.592000,,302.0,295.0,308.0,False,HARD,38.0,True,Haas F1 Team,0 days 02:22:08.392000,2023-03-19 18:23:08.478,1,12.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:47.645000,ZHO,24,0 days 00:01:33.894000,49.0,3.0,,,0 days 00:00:34.426000,0 days 00:00:29.505000,0 days 00:00:29.963000,0 days 02:22:48.291000,0 days 02:23:17.796000,0 days 02:23:47.759000,,299.0,289.0,306.0,True,MEDIUM,31.0,True,Alfa Romeo,0 days 02:22:13.751000,2023-03-19 18:23:13.837,1,13.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:49.243000,DEV,21,0 days 00:01:33.609000,49.0,2.0,,,0 days 00:00:34.354000,0 days 00:00:29.506000,0 days 00:00:29.749000,0 days 02:22:50.079000,0 days 02:23:19.585000,0 days 02:23:49.334000,286.0,300.0,292.0,305.0,True,HARD,32.0,True,AlphaTauri,0 days 02:22:15.634000,2023-03-19 18:23:15.720,1,14.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:55.896000,SAR,2,0 days 00:01:34.469000,49.0,2.0,,,0 days 00:00:34.760000,0 days 00:00:29.761000,0 days 00:00:29.948000,0 days 02:22:56.187000,0 days 02:23:25.948000,0 days 02:23:55.896000,,312.0,296.0,311.0,True,MEDIUM,31.0,True,Williams,0 days 02:22:21.427000,2023-03-19 18:23:21.513,1,15.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:56.093000,PIA,81,0 days 00:01:34.291000,49.0,2.0,,,0 days 00:00:34.952000,0 days 00:00:29.607000,0 days 00:00:29.732000,0 days 02:22:56.838000,0 days 02:23:26.445000,0 days 02:23:56.177000,287.0,318.0,307.0,321.0,False,HARD,48.0,True,McLaren,0 days 02:22:21.802000,2023-03-19 18:23:21.888,1,16.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:23:56.828000,NOR,4,0 days 00:01:34.122000,49.0,3.0,,,0 days 00:00:34.580000,0 days 00:00:29.678000,0 days 00:00:29.864000,0 days 02:22:57.392000,0 days 02:23:27.070000,0 days 02:23:56.934000,,322.0,304.0,317.0,True,MEDIUM,30.0,True,McLaren,0 days 02:22:22.706000,2023-03-19 18:23:22.792,1,17.0,False,,False,True,2023 Saudi Arabia,26.0,30.0
0 days 02:24:05.681000,PER,11,0 days 00:01:33.691000,50.0,2.0,,,0 days 00:00:34.337000,0 days 00:00:29.466000,0 days 00:00:29.888000,0 days 02:23:06.460000,0 days 02:23:35.926000,0 days 02:24:05.814000,,306.0,270.0,314.0,False,HARD,32.0,True,Red Bull Racing,0 days 02:22:31.990000,2023-03-19 18:23:32.076,1,1.0,False,,False,True,2023 Saudi Arabia,25.9,30.0
0 days 02:24:11.043000,VER,1,0 days 00:01:31.906000,50.0,2.0,,,0 days 00:00:33.543000,0 days 00:00:29.045000,0 days 00:00:29.318000,0 days 02:23:12.776000,0 days 02:23:41.821000,0 days 02:24:11.139000,292.0,310.0,299.0,316.0,True,HARD,32.0,True,Red Bull Racing,0 days 02:22:39.137000,2023-03-19 18:23:39.223,1,2.0,False,,False,True,2023 Saudi Arabia,25.9,30.0
0 days 02:24:26.435000,ALO,14,0 days 00:01:32.240000,50.0,2.0,,,0 days 00:00:33.731000,0 days 00:00:29.096000,0 days 00:00:29.413000,0 days 02:23:28.059000,0 days 02:23:57.155000,0 days 02:24:26.568000,284.0,297.0,294.0,311.0,True,HARD,33.0,False,Aston Martin,0 days 02:22:54.195000,2023-03-19 18:23:54.281,1,3.0,False,,False,True,2023 Saudi Arabia,25.9,30.0
0 days 02:24:31.553000,RUS,63,0 days 00:01:32.433000,50.0,2.0,,,0 days 00:00:33.785000,0 days 00:00:29.221000,0 days 00:00:29.427000,0 days 02:23:33.041000,0 days 02:24:02.262000,0 days 02:24:31.689000,286.0,296.0,288.0,311.0,True,HARD,32.0,True,Mercedes,0 days 02:22:59.120000,2023-03-19 18:23:59.206,1,4.0,False,,False,True,2023 Saudi Arabia,25.9,30.0
0 days 02:24:35.254000,BOT,77,0 days 00:01:35.501000,49.0,4.0,,,0 days 00:00:35.029000,0 days 00:00:30.147000,0 days 00:00:30.325000,0 days 02:23:34.906000,0 days 02:24:05.053000,0 days 02:24:35.378000,284.0,297.0,291.0,303.0,False,SOFT,14.0,True,Alfa Romeo,0 days 02:22:59.753000,2023-03-19 18:23:59.839,1,18.0,False,,False,True,2023 Saudi Arabia,25.9,30.0
