Compound,AirTemp,TrackTemp,Driver,race,LapTimeSeconds
HARD,22.7,32.5,NOR,2023 Austria,70.244
MEDIUM,22.7,32.5,ALO,2023 Austria,70.372
HARD,22.7,32.5,GAS,2023 Austria,70.662
HARD,22.7,32.5,RUS,2023 Austria,70.751
HARD,22.7,32.5,ALB,2023 Austria,70.898
MEDIUM,22.7,32.5,PER,2023 Austria,86.979
HARD,22.7,32.5,OCO,2023 Austria,71.272
HARD,22.7,32.5,STR,2023 Austria,70.916
HARD,22.7,32.5,SAR,2023 Austria,71.47
HARD,22.7,32.5,MAG,2023 Austria,71.905
HARD,22.7,32.5,ZHO,2023 Austria,71.659
HARD,22.7,32.5,DEV,2023 Austria,71.557
HARD,22.7,32.5,TSU,2023 Austria,70.378
MEDIUM,22.7,32.5,BOT,2023 Austria,70.162
HARD,22.7,32.5,PIA,2023 Austria,70.546
MEDIUM,22.7,32.5,LEC,2023 Austria,69.899
HARD,22.7,32.5,VER,2023 Austria,69.245
MEDIUM,22.7,32.5,SAI,2023 Austria,70.031
HARD,22.7,32.5,HAM,2023 Austria,70.148
HARD,22.7,32.5,NOR,2023 Austria,70.302
MEDIUM,22.6,32.2,ALO,2023 Austria,70.354
HARD,22.6,32.2,GAS,2023 Austria,70.649
HARD,22.6,32.2,RUS,2023 Austria,70.63
MEDIUM,22.6,32.2,PER,2023 Austria,69.294
HARD,22.6,32.2,ALB,2023 Austria,71.348
HARD,22.6,32.2,OCO,2023 Austria,70.937
HARD,22.6,32.2,STR,2023 Austria,70.789
HARD,22.6,32.2,SAR,2023 Austria,71.39
HARD,22.6,32.2,ZHO,2023 Austria,71.367
HARD,22.6,32.2,MAG,2023 Austria,72.987
HARD,22.6,32.2,DEV,2023 Austria,71.421
HARD,22.6,32.2,TSU,2023 Austria,70.429
MEDIUM,22.6,32.2,BOT,2023 Austria,70.427
HARD,22.6,32.2,PIA,2023 Austria,70.411
MEDIUM,22.6,32.2,LEC,2023 Austria,70.01
HARD,22.6,32.1,VER,2023 Austria,69.251
MEDIUM,22.6,32.1,SAI,2023 Austria,69.957
HARD,22.6,32.1,NOR,2023 Austria,69.947
HARD,22.6,32.1,HAM,2023 Austria,71.541
MEDIUM,22.6,32.1,ALO,2023 Austria,70.369
HARD,22.6,32.1,GAS,2023 Austria,70.67
HARD,22.6,32.1,RUS,2023 Austria,70.6
MEDIUM,22.6,32.1,PER,2023 Austria,69.388
HARD,22.6,32.1,ALB,2023 Austria,71.015
HARD,22.6,32.1,OCO,2023 Austria,70.877
HARD,22.6,32.1,STR,2023 Austria,70.789
HARD,22.6,32.1,SAR,2023 Austria,71.307
HARD,22.6,32.1,ZHO,2023 Austria,71.494
HARD,22.6,32.1,MAG,2023 Austria,72.254
HARD,22.6,32.1,DEV,2023 Austria,71.459
HARD,22.6,32.1,TSU,2023 Austria,70.346
MEDIUM,22.6,31.5,BOT,2023 Austria,70.351
HARD,22.6,31.5,PIA,2023 Austria,70.361
MEDIUM,22.6,31.5,LEC,2023 Austria,69.96
HARD,22.6,31.5,VER,2023 Austria,69.289
MEDIUM,22.6,31.5,SAI,2023 Austria,70.145
HARD,22.6,31.5,NOR,2023 Austria,70.826
HARD,22.6,31.5,HAM,2023 Austria,70.847
MEDIUM,22.6,31.5,ALO,2023 Austria,70.404
HARD,22.6,31.5,GAS,2023 Austria,71.188
HARD,22.6,31.5,RUS,2023 Austria,71.045
MEDIUM,22.6,31.5,PER,2023 Austria,70.261
HARD,22.6,31.5,ALB,2023 Austria,71.016
HARD,22.6,31.5,OCO,2023 Austria,71.006
HARD,22.6,31.5,STR,2023 Austria,71.004
HARD,22.6,31.5,SAR,2023 Austria,71.125
HARD,22.6,31.5,ZHO,2023 Austria,71.714
HARD,22.6,31.5,MAG,2023 Austria,72.188
HARD,22.6,31.5,DEV,2023 Austria,71.521
HARD,22.6,31.9,TSU,2023 Austria,70.363
MEDIUM,22.6,31.9,BOT,2023 Austria,70.109
HARD,22.6,31.9,PIA,2023 Austria,70.341
MEDIUM,22.6,31.9,LEC,2023 Austria,69.916
HARD,22.6,31.9,VER,2023 Austria,69.373
MEDIUM,22.6,31.9,SAI,2023 Austria,70.203
HARD,22.6,31.9,NOR,2023 Austria,70.478
HARD,22.6,31.9,HAM,2023 Austria,70.644
MEDIUM,22.6,31.9,ALO,2023 Austria,70.409
HARD,22.6,31.9,GAS,2023 Austria,70.948
MEDIUM,22.6,31.9,PER,2023 Austria,69.783
HARD,22.6,31.9,RUS,2023 Austria,71.351
HARD,22.6,31.9,ALB,2023 Austria,71.012
HARD,22.6,31.9,OCO,2023 Austria,71.239
HARD,22.6,31.9,STR,2023 Austria,70.953
HARD,22.7,32.2,SAR,2023 Austria,71.073
HARD,22.7,32.2,ZHO,2023 Austria,71.71
HARD,22.7,32.2,MAG,2023 Austria,72.157
HARD,22.7,32.2,DEV,2023 Austria,71.525
HARD,22.7,32.2,TSU,2023 Austria,70.588
MEDIUM,22.7,32.2,BOT,2023 Austria,70.35
HARD,22.7,32.2,PIA,2023 Austria,70.643
MEDIUM,22.7,32.2,LEC,2023 Austria,70.29
HARD,22.7,32.2,VER,2023 Austria,69.576
MEDIUM,22.7,32.2,SAI,2023 Austria,70.311
HARD,22.7,32.2,NOR,2023 Austria,70.494
HARD,22.7,32.2,HAM,2023 Austria,70.579
MEDIUM,22.7,32.2,ALO,2023 Austria,70.486
HARD,22.7,32.2,GAS,2023 Austria,70.755
MEDIUM,22.7,32.2,PER,2023 Austria,69.486
HARD,22.7,32.2,RUS,2023 Austria,70.996
HARD,22.7,32.2,ALB,2023 Austria,71.097
HARD,22.7,32.2,OCO,2023 Austria,71.009
HARD,22.7,32.2,STR,2023 Austria,70.933
HARD,22.7,32.2,SAR,2023 Austria,71.141
HARD,22.7,32.2,ZHO,2023 Austria,71.779
HARD,22.7,32.2,MAG,2023 Austria,72.17
HARD,22.7,32.2,DEV,2023 Austria,71.715
HARD,22.7,32.2,TSU,2023 Austria,70.731
MEDIUM,22.7,32.2,BOT,2023 Austria,70.494
HARD,22.7,32.2,PIA,2023 Austria,70.765
MEDIUM,22.7,32.2,LEC,2023 Austria,70.416
HARD,22.7,32.2,VER,2023 Austria,69.603
MEDIUM,22.7,32.2,SAI,2023 Austria,70.246
HARD,22.7,32.2,NOR,2023 Austria,70.563
HARD,22.7,32.2,HAM,2023 Austria,70.541
MEDIUM,22.7,32.2,ALO,2023 Austria,70.436
HARD,22.7,32.1,GAS,2023 Austria,71.156
MEDIUM,22.7,32.1,PER,2023 Austria,69.601
HARD,22.7,32.1,RUS,2023 Austria,70.788
HARD,22.7,32.1,ALB,2023 Austria,71.472
HARD,22.7,32.1,OCO,2023 Austria,71.322
HARD,22.7,32.1,STR,2023 Austria,71.342
HARD,22.7,32.1,SAR,2023 Austria,71.143
HARD,22.7,32.1,ZHO,2023 Austria,71.643
HARD,22.7,32.1,MAG,2023 Austria,72.081
HARD,22.7,32.1,DEV,2023 Austria,71.598
HARD,22.7,32.1,TSU,2023 Austria,70.555
MEDIUM,22.7,32.1,BOT,2023 Austria,70.62
HARD,22.7,32.1,PIA,2023 Austria,70.774
MEDIUM,22.7,32.1,LEC,2023 Austria,70.389
HARD,22.7,32.1,VER,2023 Austria,69.631
MEDIUM,22.7,32.1,SAI,2023 Austria,70.043
HARD,22.6,31.9,NOR,2023 Austria,70.462
HARD,22.6,31.9,HAM,2023 Austria,70.533
MEDIUM,22.6,31.9,ALO,2023 Austria,70.412
HARD,22.6,31.9,GAS,2023 Austria,70.843
MEDIUM,22.6,31.9,PER,2023 Austria,70.283
HARD,22.6,31.9,RUS,2023 Austria,70.726
HARD,22.6,31.9,ALB,2023 Austria,70.896
HARD,22.6,31.9,OCO,2023 Austria,70.978
HARD,22.6,31.9,STR,2023 Austria,71.187
HARD,22.6,31.9,SAR,2023 Austria,71.479
HARD,22.6,31.9,ZHO,2023 Austria,71.503
HARD,22.6,31.9,MAG,2023 Austria,72.175
HARD,22.6,31.9,DEV,2023 Austria,71.807
HARD,22.6,31.9,TSU,2023 Austria,70.607
MEDIUM,22.6,31.9,BOT,2023 Austria,70.705
HARD,22.6,31.9,PIA,2023 Austria,70.708
MEDIUM,22.6,31.9,LEC,2023 Austria,70.321
HARD,22.6,31.9,VER,2023 Austria,69.779
MEDIUM,22.5,31.8,SAI,2023 Austria,70.023
HARD,22.5,31.8,NOR,2023 Austria,70.252
HARD,22.5,31.8,HAM,2023 Austria,70.326
MEDIUM,22.5,31.8,ALO,2023 Austria,70.301
MEDIUM,22.5,31.8,PER,2023 Austria,69.433
HARD,22.5,31.8,GAS,2023 Austria,71.693
HARD,22.5,31.8,RUS,2023 Austria,70.535
HARD,22.5,31.8,ALB,2023 Austria,70.905
HARD,22.5,31.8,OCO,2023 Austria,71.167
HARD,22.5,31.8,STR,2023 Austria,71.045
HARD,22.5,31.8,SAR,2023 Austria,71.303
HARD,22.5,31.8,ZHO,2023 Austria,71.591
HARD,22.5,31.8,DEV,2023 Austria,71.78
HARD,22.5,31.7,TSU,2023 Austria,70.702
MEDIUM,22.5,31.7,BOT,2023 Austria,70.634
HARD,22.5,31.7,PIA,2023 Austria,70.65
HARD,22.5,31.7,VER,2023 Austria,69.265
MEDIUM,22.5,31.7,LEC,2023 Austria,70.891
MEDIUM,22.5,31.7,SAI,2023 Austria,70.298
HARD,22.5,31.7,NOR,2023 Austria,70.468
HARD,22.5,31.7,HAM,2023 Austria,70.978
MEDIUM,22.5,31.7,ALO,2023 Austria,70.259
MEDIUM,22.5,31.7,PER,2023 Austria,69.456
HARD,22.5,31.7,GAS,2023 Austria,71.074
HARD,22.5,31.7,RUS,2023 Austria,70.617
HARD,22.5,31.7,ALB,2023 Austria,71.024
HARD,22.5,31.7,OCO,2023 Austria,70.973
HARD,22.5,31.7,STR,2023 Austria,70.97
HARD,22.5,31.7,SAR,2023 Austria,71.169
HARD,22.5,31.7,ZHO,2023 Austria,71.641
HARD,22.5,31.7,DEV,2023 Austria,71.596
HARD,22.5,31.7,TSU,2023 Austria,70.917
MEDIUM,22.5,31.7,BOT,2023 Austria,71.023
HARD,22.5,31.7,VER,2023 Austria,69.367
MEDIUM,22.5,31.7,LEC,2023 Austria,70.548
HARD,22.5,31.7,PIA,2023 Austria,73.784
MEDIUM,22.5,31.7,SAI,2023 Austria,70.336
HARD,22.5,31.7,MAG,2023 Austria,88.835
HARD,22.5,31.7,NOR,2023 Austria,70.815
